Employee id,Age,Gender,Education Level,Job Title,Years of Experience,Salary
2328231,27,Male,Bachelor's Degree,Junior Account Manager,2,45000
2328232,40,Female,Bachelor's Degree,HR Generalist,15,80000
2328234,31,Female,Bachelor's Degree,Marketing Coordinator,6,55000
2328236,29,Female,Bachelor's Degree,Sales Associate,3,40000
2328237,43,Male,Bachelor's Degree,Supply Chain Manager,18,105000
2328239,33,Male,Bachelor's Degree,Business Analyst,7,75000
2328240,39,Female,Bachelor's Degree,Training Specialist,12,65000
2328242,26,Male,Bachelor's Degree,Junior Software Developer,1,35000
2328244,45,Male,Bachelor's Degree,Operations Analyst,20,110000
2328245,31,Female,Bachelor's Degree,Event Coordinator,5,45000
2328248,33,Male,Bachelor's Degree,Junior Web Developer,5,50000
2328251,30,Female,Bachelor's Degree,Digital Content Producer,3,50000
2328252,36,Male,Bachelor's Degree,IT Support Specialist,7,60000
2328254,28,Male,Bachelor's Degree,Customer Success Manager,2,40000
2328256,37,Male,Bachelor's Degree,Software Project Manager,9,95000
2328257,50,Female,Bachelor's Degree,Supply Chain Analyst,22,130000
2328259,23,Female,Bachelor's Degree,Junior Marketing Analyst,0.5,35000
2328261,40,Female,Bachelor's Degree,Office Manager,15,65000
2328263,29,Female,Bachelor's Degree,Junior HR Generalist,3,45000
2328265,42,Female,Bachelor's Degree,Sales Manager,17,100000
2328267,33,Female,Bachelor's Degree,Junior Operations Analyst,5,50000
2328268,38,Male,Bachelor's Degree,Customer Service Manager,11,80000
2328270,26,Male,Bachelor's Degree,Junior Accountant,2,40000
2328272,45,Male,Bachelor's Degree,Sales Operations Manager,18,110000
2328273,32,Female,Bachelor's Degree,Marketing Coordinator,4,50000
2328276,29,Male,Bachelor's Degree,Junior Web Designer,3,45000
2328279,27,Male,Bachelor's Degree,Junior Sales Representative,1,35000
2328280,39,Female,Bachelor's Degree,Administrative Assistant,10,55000
2328282,30,Female,Bachelor's Degree,Junior Marketing Manager,4,50000
2328283,36,Male,Bachelor's Degree,Junior Data Analyst,7,60000
2328285,28,Male,Bachelor's Degree,Junior Business Analyst,2,40000
2328287,33,Male,Bachelor's Degree,Junior Software Developer,5,50000
2328288,47,Male,Bachelor's Degree,Senior Sales Manager,20,135000
2328290,34,Male,Bachelor's Degree,Senior Business Analyst,8,90000
2328292,31,Male,Bachelor's Degree,Junior Project Manager,4,60000
2328293,38,Female,Bachelor's Degree,Senior Accountant,10,80000
2328295,29,Female,Bachelor's Degree,Junior Recruiter,3,45000
2328298,26,Male,Bachelor's Degree,Junior Customer Support Specialist,2,35000
2328300,44,Male,Bachelor's Degree,Senior IT Support Specialist,14,110000
2328301,32,Female,Bachelor's Degree,Junior Financial Analyst,5,50000
2328304,28,Male,Bachelor's Degree,Junior Software Engineer,2,40000
2328305,39,Female,Bachelor's Degree,Senior Sales Representative,12,90000
2328307,30,Female,Bachelor's Degree,Junior Copywriter,3,45000
2328308,35,Male,Bachelor's Degree,Senior Marketing Coordinator,7,80000
2328310,27,Male,Bachelor's Degree,Junior Business Development Associate,1.5,35000
2328311,40,Female,Bachelor's Degree,Senior Account Manager,14,110000
2328313,31,Female,Bachelor's Degree,Junior HR Coordinator,4,50000
2328316,29,Male,Bachelor's Degree,Junior Marketing Coordinator,2,40000
2328318,43,Male,Bachelor's Degree,Senior Project Manager,16,140000
2328320,35,Male,Bachelor's Degree,Senior Operations Analyst,7,85000
2328322,31,Male,Bachelor's Degree,Junior Accountant,4,50000
2328323,38,Female,Bachelor's Degree,Senior Human Resources Coordinator,10,80000
2328325,29,Female,Bachelor's Degree,Junior Sales Representative,2,40000
2328328,27,Male,Bachelor's Degree,Junior Product Manager,2,40000
2328329,36,Female,Bachelor's Degree,Senior Marketing Specialist,8,85000
2328330,43,Male,Bachelor's Degree,Senior IT Project Manager,14,130000
2328332,34,Male,Bachelor's Degree,Senior Quality Assurance Analyst,9,100000
2328334,28,Male,Bachelor's Degree,Junior Operations Analyst,1.5,35000
2328335,39,Female,Bachelor's Degree,Senior Account Executive,12,95000
2328337,30,Female,Bachelor's Degree,Junior Social Media Manager,3,45000
2328338,34,Male,Bachelor's Degree,Senior Product Manager,7,95000
2328340,28,Male,Bachelor's Degree,Junior Business Analyst,2,40000
2328341,41,Female,Bachelor's Degree,Senior Marketing Coordinator,11,90000
2328343,32,Female,Bachelor's Degree,Junior Account Manager,5,55000
2328346,30,Male,Bachelor's Degree,Junior Advertising Coordinator,3,45000
2328347,44,Male,Bachelor's Degree,Senior Sales Manager,16,130000
2328349,36,Male,Bachelor's Degree,Senior Accountant,7,90000
2328351,31,Male,Bachelor's Degree,Junior HR Generalist,4,50000
2328352,39,Female,Bachelor's Degree,Senior Operations Manager,10,120000
2328354,30,Female,Bachelor's Degree,Junior Marketing Coordinator,2,40000
2328357,28,Male,Bachelor's Degree,Junior Business Development Associate,2,40000
2328358,35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000
2328359,44,Male,Bachelor's Degree,Senior Software Engineer,14,130000
2328361,35,Male,Bachelor's Degree,Senior Project Coordinator,9,95000
2328363,29,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,35000
2328364,40,Female,Bachelor's Degree,Senior Sales Representative,12,100000
2328366,31,Female,Bachelor's Degree,Junior Social Media Specialist,3,45000
2328367,33,Male,Bachelor's Degree,Senior Product Development Manager,7,100000
2328369,28,Male,Bachelor's Degree,Junior Financial Analyst,2,40000
2328370,40,Female,Bachelor's Degree,Senior Marketing Manager,11,105000
2328372,33,Female,Bachelor's Degree,Junior Operations Manager,5,70000
2328375,30,Male,Bachelor's Degree,Junior Marketing Specialist,3,45000
2328376,43,Male,Bachelor's Degree,Senior Project Manager,15,120000
2328378,35,Male,Bachelor's Degree,Senior Operations Analyst,8,85000
2328380,32,Male,Bachelor's Degree,Junior Sales Representative,3,45000
2328381,37,Female,Bachelor's Degree,Senior Financial Analyst,9,100000
2328383,33,Female,Bachelor's Degree,Junior Operations Analyst,5,70000
2328384,39,Male,Bachelor's Degree,Senior Marketing Specialist,10,120000
2328386,29,Male,Bachelor's Degree,Junior Business Analyst,1.5,40000
2328387,38,Female,Bachelor's Degree,Senior Product Manager,10,120000
2328389,34,Female,Bachelor's Degree,Junior Marketing Analyst,6,70000
2328390,36,Male,Bachelor's Degree,Senior Operations Manager,8,95000
2328392,31,Male,Bachelor's Degree,Junior Financial Analyst,3,50000
2328393,41,Female,Bachelor's Degree,Senior Project Coordinator,11,95000
2328395,30,Female,Bachelor's Degree,Junior Marketing Coordinator,2,40000
2328398,28,Male,Bachelor's Degree,Junior Business Development Associate,2,40000
2328399,35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000
2328400,44,Male,Bachelor's Degree,Senior Software Engineer,14,130000
2328402,35,Male,Bachelor's Degree,Senior Project Coordinator,9,95000
2328404,29,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,350
2328406,37,Female,Bachelor's Degree,Senior Financial Manager,10,120000
2328408,31,Female,Bachelor's Degree,Junior Marketing Coordinator,3,50000
2328409,42,Male,Bachelor's Degree,Senior Operations Manager,12,110000
2328410,29,Female,Bachelor's Degree,Junior Sales Representative,1.5,40000
2328411,36,Male,Bachelor's Degree,Senior Marketing Specialist,8,95000
2328413,33,Male,Bachelor's Degree,Junior Operations Manager,4,60000
2328414,39,Female,Bachelor's Degree,Senior Marketing Coordinator,9,110000
2328416,32,Female,Bachelor's Degree,Junior Marketing Manager,4,60000
2328417,37,Male,Bachelor's Degree,Senior Financial Analyst,8,90000
2328419,30,Male,Bachelor's Degree,Junior Business Analyst,2,40000
2328420,38,Female,Bachelor's Degree,Senior Project Manager,9,120000
2328422,34,Female,Bachelor's Degree,Junior Financial Analyst,5,70000
2328423,36,Male,Bachelor's Degree,Senior Product Manager,8,95000
2328425,31,Male,Bachelor's Degree,Junior Operations Analyst,3,50000
2328426,41,Female,Bachelor's Degree,Senior Project Coordinator,11,95000
2328428,29,Female,Bachelor's Degree,Junior Business Development Associate,1.5,35000
2328429,35,Male,Bachelor's Degree,Senior Financial Manager,9,100000
2328431,33,Male,Bachelor's Degree,Junior Business Analyst,4,60000
2328432,35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000
2328433,44,Male,Bachelor's Degree,Senior Software Engineer,13,130000
2328434,32,Male,Bachelor's Degree,Junior Product Manager,4,65000
2328435,38,Female,Bachelor's Degree,Senior Business Analyst,10,110000
2328437,29,Female,Bachelor's Degree,Junior Marketing Specialist,2,40000
2328438,35,Male,Bachelor's Degree,Senior Business Development Manager,7,90000
2328440,33,Male,Bachelor's Degree,Junior Financial Analyst,4,60000
2328441,40,Female,Bachelor's Degree,Senior Marketing Manager,12,130000
2328443,30,Female,Bachelor's Degree,Junior Operations Coordinator,2,40000
2328444,37,Male,Bachelor's Degree,Senior Marketing Analyst,9,100000
2328446,31,Male,Bachelor's Degree,Junior Project Manager,3,55000
2328447,38,Female,Bachelor's Degree,Senior Operations Coordinator,9,120000
2328449,33,Female,Bachelor's Degree,Junior Marketing Manager,5,70000
2328450,36,Male,Bachelor's Degree,Senior Business Analyst,8,95000
2328452,31,Male,Bachelor's Degree,Junior Operations Analyst,3,50000
2328453,42,Female,Bachelor's Degree,Senior Project Manager,12,120000
2328455,29,Female,Bachelor's Degree,Junior Business Development Associate,1.5,35000
2328456,35,Male,Bachelor's Degree,Senior Financial Manager,9,100000
2328458,33,Male,Bachelor's Degree,Junior Business Analyst,4,60000
2328459,35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000
2328460,44,Male,Bachelor's Degree,Senior Software Engineer,13,130000
2328462,36,Male,Bachelor's Degree,Senior Marketing Specialist,8,95000
2328463,30,Female,Bachelor's Degree,Junior HR Coordinator,2,40000
2328464,37,Male,Bachelor's Degree,Senior Business Development Manager,10,120000
2328466,32,Male,Bachelor's Degree,Junior Financial Advisor,4,65000
2328467,39,Female,Bachelor's Degree,Senior Project Manager,12,130000
2328469,29,Female,Bachelor's Degree,Junior Marketing Analyst,2,40000
2328470,36,Male,Bachelor's Degree,Senior Operations Manager,9,100000
2328472,32,Male,Bachelor's Degree,Junior Marketing Coordinator,3,55000
2328473,38,Female,Bachelor's Degree,Senior Business Analyst,10,110000
2328475,31,Female,Bachelor's Degree,Junior Business Development Associate,3,50000
2328476,40,Male,Bachelor's Degree,Senior Financial Analyst,12,130000
2328478,33,Male,Bachelor's Degree,Junior Product Manager,4,60000
2328479,36,Female,Bachelor's Degree,Senior Marketing Manager,8,95000
2328481,29,Female,Bachelor's Degree,Junior Project Manager,2,40000
2328482,34,Male,Bachelor's Degree,Senior Operations Coordinator,7,90000
2328484,33,Male,Bachelor's Degree,Junior Marketing Specialist,5,70000
2328485,35,Female,Bachelor's Degree,Senior Financial Manager,8,90000
2328487,31,Female,Bachelor's Degree,Junior Financial Analyst,3,50000
2328488,41,Male,Bachelor's Degree,Senior Product Manager,14,150000
2328490,33,Male,Bachelor's Degree,Junior Business Analyst,4,60000
2328491,35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000
2328493,28,Female,Bachelor's Degree,Junior Operations Manager,1,35000
2328494,36,Male,Bachelor's Degree,Senior Business Development Manager,8,110000
2328496,31,Male,Bachelor's Degree,Junior Marketing Coordinator,3,55000
2328497,38,Female,Bachelor's Degree,Senior Business Analyst,10,110000
2328499,31,Female,Bachelor's Degree,Junior Business Development Associate,3,50000
2328500,40,Male,Bachelor's Degree,Senior Financial Analyst,12,130000
2328502,33,Male,Bachelor's Degree,Junior Product Manager,4,60000
2328503,36,Female,Bachelor's Degree,Senior Marketing Manager,8,95000
2328505,29,Female,Bachelor's Degree,Junior Project Manager,2,40000
2328506,34,Male,Bachelor's Degree,Senior Operations Coordinator,7,90000
2328508,33,Male,Bachelor's Degree,Junior Marketing Specialist,5,70000
2328509,35,Female,Bachelor's Degree,Senior Financial Manager,8,90000
2328511,31,Female,Bachelor's Degree,Junior Financial Analyst,3,50000
2328512,41,Male,Bachelor's Degree,Senior Product Manager,14,150000
2328514,33,Male,Bachelor's Degree,Junior Business Analyst,4,60000
2328515,35,Female,Bachelor's Degree,Senior Marketing Analyst,8,85000
2328517,29,Female,Bachelor's Degree,Junior Project Manager,2,40000
2328518,34,Male,Bachelor's Degree,Senior Operations Coordinator,7,90000
2328521,28,Female,Bachelor's Degree,Software Engineer,3,125000
2328523,27,Female,Bachelor's Degree,Data Analyst,2,110000
2328525,29,Female,Bachelor's Degree,Software Engineer,4,140000
2328526,32,Male,Bachelor's Degree,Product Manager,7,170000
2328529,31,Female,Bachelor's Degree,Software Engineer,6,155000
2328531,30,Female,Bachelor's Degree,Data Analyst,5,145000
2328533,29,Female,Bachelor's Degree,Software Engineer,4,140000
2328534,34,Male,Bachelor's Degree,Product Manager,9,185000
2328537,31,Female,Bachelor's Degree,Software Engineer,6,155000
2328539,30,Female,Bachelor's Degree,Data Analyst,5,145000
2328540,28,Male,Bachelor's Degree,Software Engineer,3,125000
2328542,27,Male,Bachelor's Degree,Data Analyst,2,110000
2328544,29,Male,Bachelor's Degree,Software Engineer,4,140000
2328545,32,Male,Bachelor's Degree,Product Manager,7,170000
2328548,31,Female,Bachelor's Degree,Software Engineer,6,155000
2328550,30,Female,Bachelor's Degree,Data Analyst,5,145000
2328552,29,Female,Bachelor's Degree,Software Engineer,4,140000
2328553,34,Male,Bachelor's Degree,Product Manager,9,185000
2328556,31,Female,Bachelor's Degree,Software Engineer,6,155000
2328558,30,Female,Bachelor's Degree,Data Analyst,5,145000
2328559,28,Male,Bachelor's Degree,Software Engineer,3,125000
2328561,27,Male,Bachelor's Degree,Data Analyst,2,110000
2328563,29,Male,Bachelor's Degree,Software Engineer,4,140000
2328564,32,Male,Bachelor's Degree,Product Manager,7,170000
2328567,31,Female,Bachelor's Degree,Software Engineer,6,155000
2328569,30,Female,Bachelor's Degree,Data Analyst,5,145000
2328571,29,Female,Bachelor's Degree,Software Engineer,4,140000
2328572,34,Male,Bachelor's Degree,Product Manager,9,185000
2328575,31,Female,Bachelor's Degree,Software Engineer,6,155000
2328577,30,Female,Bachelor's Degree,Data Analyst,5,145000
2328578,28,Male,Bachelor's Degree,Software Engineer,3,125000
2328580,27,Male,Bachelor's Degree,Data Analyst,2,110000
2328582,29,Male,Bachelor's Degree,Software Engineer,4,140000
2328583,32,Male,Bachelor's Degree,Product Manager,7,170000
2328586,31,Female,Bachelor's Degree,Software Engineer,6,155000
2328588,30,Female,Bachelor's Degree,Data Analyst,5,145000
2328590,29,Female,Bachelor's Degree,Software Engineer,4,140000
2328591,34,Male,Bachelor's Degree,Product Manager,9,185000
2328594,31,Female,Bachelor's Degree,Software Engineer,6,155000
2328596,30,Female,Bachelor's Degree,Data Analyst,5,145000
2328598,29,Female,Bachelor's Degree,Software Engineer,4,140000
2328599,34,Male,Bachelor's Degree,Product Manager,9,185000
2328602,31,Female,Bachelor's Degree,Software Engineer,6,155000
2328604,30,Female,Bachelor's Degree,Data Analyst,5,145000
2328605,28,Male,Bachelor's Degree,Software Engineer,3,125000
2328607,27,Male,Bachelor's Degree,Data Analyst,2,110000
2328609,29,Male,Bachelor's Degree,Software Engineer,4,140000
2328610,32,Male,Bachelor's Degree,Product Manager,7,170000
2328613,31,Female,Bachelor's Degree,Software Engineer,6,155000
2328615,30,Female,Bachelor's Degree,Data Analyst,5,145000
2328617,29,Female,Bachelor's Degree,Software Engineer,4,140000
2328618,34,Male,Bachelor's Degree,Product Manager,9,185000
2328621,31,Female,Bachelor's Degree,Software Engineer,6,155000
2328623,30,Female,Bachelor's Degree,Data Analyst,5,145000
2328625,29,Female,Bachelor's Degree,Software Engineer,4,140000
2328626,34,Male,Bachelor's Degree,Product Manager,9,185000
2328629,31,Female,Bachelor's Degree,Software Engineer,6,155000
2328631,30,Female,Bachelor's Degree,Data Analyst,5,145000
2328633,29,Female,Bachelor's Degree,Software Engineer,4,140000
2328634,34,Male,Bachelor's Degree,Product Manager,9,185000
2328637,31,Female,Bachelor's Degree,Software Engineer,6,155000
2328639,30,Female,Bachelor's Degree,Data Analyst,5,145000
2328641,29,Female,Bachelor's Degree,Software Engineer,4,140000
2328642,34,Male,Bachelor's Degree,Product Manager,9,185000
2328645,31,Female,Bachelor's Degree,Software Engineer,6,155000
2328647,30,Female,Bachelor's Degree,Data Analyst,5,145000
2328649,29,Female,Bachelor's Degree,Software Engineer,4,140000
2328650,34,Male,Bachelor's Degree,Product Manager,9,185000
2328651,26,Male,Bachelor's Degree,Data Analyst,3,130000
2328653,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328654,27,Female,Bachelor's Degree,Product Manager,4,150000
2328655,24,Male,Bachelor's Degree,Data Analyst,1,90000
2328657,28,Male,Bachelor's Degree,Software Engineer,5,160000
2328659,25,Male,Bachelor's Degree,Data Analyst,2,110000
2328661,27,Male,Bachelor's Degree,Software Engineer,4,140000
2328663,23,Male,Bachelor's Degree,Data Analyst,1,95000
2328665,29,Male,Bachelor's Degree,Software Engineer,6,175000
2328666,30,Female,Bachelor's Degree,Product Manager,5,160000
2328667,26,Male,Bachelor's Degree,Data Analyst,3,130000
2328669,28,Male,Bachelor's Degree,Software Engineer,5,160000
2328671,24,Male,Bachelor's Degree,Data Analyst,1,90000
2328673,27,Male,Bachelor's Degree,Software Engineer,4,140000
2328675,25,Male,Bachelor's Degree,Data Analyst,2,110000
2328677,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328678,27,Female,Bachelor's Degree,Product Manager,4,150000
2328679,31,Male,Bachelor's Degree,Data Analyst,9,195000
2328680,28,Female,Bachelor's Degree,Software Engineer,5,160000
2328682,26,Female,Bachelor's Degree,Data Analyst,3,130000
2328684,27,Female,Bachelor's Degree,Software Engineer,4,140000
2328686,25,Female,Bachelor's Degree,Data Analyst,2,110000
2328687,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328689,30,Male,Bachelor's Degree,Data Analyst,5,160000
2328691,24,Male,Bachelor's Degree,Data Analyst,1,90000
2328693,28,Male,Bachelor's Degree,Software Engineer,5,160000
2328694,27,Female,Bachelor's Degree,Product Manager,4,150000
2328695,26,Male,Bachelor's Degree,Data Analyst,3,130000
2328697,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328699,25,Male,Bachelor's Degree,Data Analyst,2,110000
2328701,27,Male,Bachelor's Degree,Software Engineer,4,140000
2328703,31,Male,Bachelor's Degree,Data Analyst,9,195000
2328704,28,Female,Bachelor's Degree,Software Engineer,5,160000
2328705,26,Male,Bachelor's Degree,Data Analyst,3,130000
2328707,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328709,24,Male,Bachelor's Degree,Data Analyst,1,90000
2328710,27,Male,Bachelor's Degree,Software Engineer,4,140000
2328711,25,Female,Bachelor's Degree,Data Analyst,2,110000
2328713,31,Male,Bachelor's Degree,Data Analyst,9,195000
2328714,28,Female,Bachelor's Degree,Software Engineer,5,160000
2328715,26,Male,Bachelor's Degree,Data Analyst,3,130000
2328717,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328719,24,Male,Bachelor's Degree,Data Analyst,1,90000
2328720,27,Male,Bachelor's Degree,Software Engineer,4,140000
2328721,25,Female,Bachelor's Degree,Data Analyst,2,110000
2328723,31,Male,Bachelor's Degree,Data Analyst,9,195000
2328724,28,Female,Bachelor's Degree,Software Engineer,5,160000
2328725,26,Male,Bachelor's Degree,Data Analyst,3,130000
2328727,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328729,24,Male,Bachelor's Degree,Data Analyst,1,90000
2328730,27,Male,Bachelor's Degree,Software Engineer,4,140000
2328731,25,Female,Bachelor's Degree,Data Analyst,2,110000
2328733,31,Male,Bachelor's Degree,Data Analyst,9,195000
2328734,28,Female,Bachelor's Degree,Software Engineer,5,160000
2328735,26,Male,Bachelor's Degree,Data Analyst,3,130000
2328737,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328739,24,Male,Bachelor's Degree,Data Analyst,1,90000
2328740,27,Male,Bachelor's Degree,Software Engineer,4,140000
2328741,25,Male,Bachelor's Degree,Data Analyst,2,125000
2328743,30,Male,Bachelor's Degree,Software Engineer,8,190000
2328744,27,Female,Bachelor's Degree,Product Manager,4,150000
2328745,24,Male,Bachelor's Degree,Data Analyst,1,95000
2328747,28,Male,Bachelor's Degree,Software Engineer,5,160000
2328749,26,Male,Bachelor's Degree,Data Analyst,3,130000
2328751,27,Male,Bachelor's Degree,Software Engineer,4,140000
2328753,23,Male,Bachelor's Degree,Data Analyst,1,90000
2328755,29,Male,Bachelor's Degree,Software Engineer,6,170000
2328756,30,Female,Bachelor's Degree,Product Manager,5,160000
2328757,26,Male,Bachelor's Degree,Data Analyst,3,135000
2328759,28,Male,Bachelor's Degree,Software Engineer,5,160000
2328761,24,Male,Bachelor's Degree,Data Analyst,1,90000
2328763,27,Male,Bachelor's Degree,Software Engineer,4,140000
2328765,25,Male,Bachelor's Degree,Data Analyst,2,115000
2328767,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328768,27,Female,Bachelor's Degree,Product Manager,4,150000
2328769,31,Male,Bachelor's Degree,Data Analyst,9,195000
2328770,28,Female,Bachelor's Degree,Software Engineer,5,160000
2328772,26,Female,Bachelor's Degree,Data Analyst,3,130000
2328774,27,Female,Bachelor's Degree,Software Engineer,4,140000
2328776,25,Female,Bachelor's Degree,Data Analyst,2,110000
2328777,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328779,30,Male,Bachelor's Degree,Data Analyst,5,160000
2328781,24,Male,Bachelor's Degree,Data Analyst,1,90000
2328783,28,Male,Bachelor's Degree,Software Engineer,5,160000
2328784,27,Female,Bachelor's Degree,Product Manager,4,150000
2328785,26,Male,Bachelor's Degree,Data Analyst,3,130000
2328787,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328789,25,Male,Bachelor's Degree,Data Analyst,2,110000
2328791,27,Male,Bachelor's Degree,Software Engineer,4,140000
2328793,31,Male,Bachelor's Degree,Data Analyst,9,195000
2328794,28,Female,Bachelor's Degree,Software Engineer,5,160000
2328795,26,Male,Bachelor's Degree,Data Analyst,3,130000
2328797,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328799,24,Male,Bachelor's Degree,Data Analyst,1,90000
2328800,27,Male,Bachelor's Degree,Software Engineer,4,140000
2328801,25,Female,Bachelor's Degree,Data Analyst,2,110000
2328803,31,Male,Bachelor's Degree,Data Analyst,9,195000
2328804,28,Female,Bachelor's Degree,Software Engineer,5,160000
2328805,26,Male,Bachelor's Degree,Data Analyst,3,130000
2328807,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328809,24,Male,Bachelor's Degree,Data Analyst,1,90000
2328810,27,Male,Bachelor's Degree,Software Engineer,4,140000
2328811,25,Female,Bachelor's Degree,Data Analyst,2,110000
2328813,31,Male,Bachelor's Degree,Data Analyst,9,195000
2328814,28,Female,Bachelor's Degree,Software Engineer,5,160000
2328815,26,Male,Bachelor's Degree,Data Analyst,3,130000
2328817,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328819,24,Male,Bachelor's Degree,Data Analyst,1,90000
2328820,27,Male,Bachelor's Degree,Software Engineer,4,140000
2328821,23,Male,Bachelor's Degree,Data Analyst,1,90000
2328823,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328824,24,Female,Bachelor's Degree,Product Manager,3,125000
2328825,25,Male,Bachelor's Degree,Data Analyst,2,110000
2328827,28,Male,Bachelor's Degree,Software Engineer,5,160000
2328829,26,Male,Bachelor's Degree,Data Analyst,3,130000
2328831,27,Male,Bachelor's Degree,Software Engineer,4,140000
2328833,23,Male,Bachelor's Degree,Data Analyst,1,92000
2328835,29,Male,Bachelor's Degree,Software Engineer,6,170000
2328836,30,Female,Bachelor's Degree,Product Manager,5,160000
2328837,26,Male,Bachelor's Degree,Data Analyst,3,135000
2328839,28,Male,Bachelor's Degree,Software Engineer,5,165000
2328841,24,Male,Bachelor's Degree,Data Analyst,1,95000
2328843,27,Male,Bachelor's Degree,Software Engineer,4,140000
2328845,25,Male,Bachelor's Degree,Data Analyst,2,115000
2328847,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328848,27,Female,Bachelor's Degree,Product Manager,4,150000
2328849,31,Male,Bachelor's Degree,Data Analyst,9,195000
2328850,28,Female,Bachelor's Degree,Software Engineer,5,160000
2328852,26,Female,Bachelor's Degree,Data Analyst,3,130000
2328854,27,Female,Bachelor's Degree,Software Engineer,4,140000
2328856,25,Female,Bachelor's Degree,Data Analyst,2,110000
2328857,32,Male,Bachelor's Degree,Software Engineer,8,190000
2328859,30,Male,Bachelor's Degree,Data Analyst,5,160000
2328861,24,Male,Bachelor's Degree,Data Analyst,1,90000
2328863,28,Male,Bachelor's Degree,Software Engineer,5,160000
2328864,27,Female,Bachelor's Degree,Product Manager,4,150000
2328865,26,Male,Bachelor's Degree,Data Analyst,3,130000
